Uses Octree;Spheres;Max Octree Depth;Num Samples;Max Rays Depth;Screen Width;Screen Height;Min;Max;Avg;Min FPS;Max FPS;Avg FPS
0; 500; -1; 4; 4; 800; 600; 0.0337812; 0.038991; 0.0361131; 25.6469; 29.6023; 27.7067
0; 1000; -1; 4; 4; 800; 600; 0.0765099; 0.084061; 0.0783212; 11.8961; 13.0702; 12.7719
0; 2000; -1; 4; 4; 800; 600; 0.154878; 0.171572; 0.160411; 5.82847; 6.45672; 6.23517
1; 500; 10; 4; 4; 800; 600; 0.0295844; 0.0342829; 0.0311411; 29.1691; 33.8016; 32.1395
1; 500; 250; 4; 4; 800; 600; 0.0204155; 0.0349962; 0.028111; 28.5745; 48.9824; 35.729
1; 500; 500; 4; 4; 800; 600; 0.0272199; 0.0406477; 0.0337986; 24.6016; 36.7378; 29.6744
1; 500; 1000; 4; 4; 800; 600; 0.0243549; 0.030067; 0.0270701; 33.2591; 41.0595; 36.9959
1; 1000; 10; 4; 4; 800; 600; 0.0095017; 0.035452; 0.0317307; 28.2072; 105.244; 32.664
1; 1000; 500; 4; 4; 800; 600; 0.0249351; 0.0325506; 0.0292139; 30.7214; 40.1041; 34.3088
1; 1000; 1000; 4; 4; 800; 600; 0.0296146; 0.0397965; 0.0349258; 25.1278; 33.7671; 28.6759
1; 1000; 2000; 4; 4; 800; 600; 0.0315375; 0.0359189; 0.0331127; 27.8405; 31.7083; 30.2192
1; 2000; 10; 4; 4; 800; 600; 0.0815373; 0.0877832; 0.082644; 11.3917; 12.2643; 12.1019
1; 2000; 1000; 4; 4; 800; 600; 0.0413256; 0.0609997; 0.0515234; 16.3935; 24.1981; 19.448
1; 2000; 2000; 4; 4; 800; 600; 0.0571344; 0.0637489; 0.0588242; 15.6865; 17.5026; 17.0071
1; 2000; 4000; 4; 4; 800; 600; 0.0515558; 0.0587857; 0.0537625; 17.0109; 19.3965; 18.6112
